Index,Anime
480,xxxHOLiC Kei
481,Mimi wo Sumaseba
482,Dragon Ball Z
483,Bungou Stray Dogs 2nd Season
484,Trigun
485,Toki wo Kakeru Shoujo
486,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season
487,Chihayafuru
488,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen
489,Romeo no Aoi Sora
490,Mobile Suit Gundam: The Origin
491,Major S4
492,Ouran Koukou Host Club
493,Cardcaptor Sakura Movie 2: Fuuin Sareta Card
494,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero
495,Little Busters!: Refrain
496,InuYasha: Kanketsu-hen
497,Hinamatsuri
498,Kuroko no Basket
499,Higurashi no Naku Koro ni Kai
500,Majo no Takkyuubin
501,ReLIFE: Kanketsu-hen
502,Sennen Joyuu
503,SKET Dance
504,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen
505,Gyakkyou Burai Kaiji: Ultimate Survivor
506,Quanzhi Gaoshou zhi Dianfeng Rongyao
507,Nodame Cantabile: Finale
508,Major: World Series
509,Initial D First Stage
510,Kono Sekai no Katasumi ni
511,Fate/stay night: Unlimited Blade Works
512,Hibike! Euphonium 2
513,JoJo no Kimyou na Bouken (TV)
514,Redline
515,Hajime no Ippo: Champion Road
516,Major S3
517,Hunter x Hunter: Greed Island Final
518,Gin no Saji 2nd Season
519,Noragami Aragoto
520,Planetes
521,Banana Fish
522,Major S1
523,Ookami to Koushinryou
524,Koukaku Kidoutai
525,Danshi Koukousei no Nichijou
526,K-On! Movie
527,Neon Genesis Evangelion
528,Fruits Basket 1st Season
529,Re:Zero kara Hajimeru Isekai Seikatsu
530,No Game No Life
531,Toradora!
532,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
533,Owarimonogatari 2nd Season
534,Detective Conan: Episode One - The Great Detective Turned Small
535,Kono Subarashii Sekai ni Shukufuku wo! 2
536,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou"
537,Tsubasa: Tokyo Revelations
538,Doukyuusei (Movie)
539,Beck
540,Uchuu Senkan Yamato 2199
541,Stranger: Mukou Hadan
